software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602206339;1261;321;1;;;;;;;;;;;;;;;;;;;;;
1764602206348;1258;315;1;;;;;;;;;;;;;;;;;;;;;
1764602206361;1255;305;1;;;;;;;;;;;;;;;;;;;;;
1764602206368;1251;298;1;;;;;;;;;;;;;;;;;;;;;
1764602206375;1246;290;1;;;;;;;;;;;;;;;;;;;;;
1764602206382;1243;284;1;;;;;;;;;;;;;;;;;;;;;
1764602206389;1240;278;1;;;;;;;;;;;;;;;;;;;;;
1764602206397;1238;273;1;;;;;;;;;;;;;;;;;;;;;
1764602206403;1235;269;1;;;;;;;;;;;;;;;;;;;;;
1764602206410;1232;264;1;;;;;;;;;;;;;;;;;;;;;
1764602206417;1230;259;1;;;;;;;;;;;;;;;;;;;;;
1764602206425;1228;256;1;;;;;;;;;;;;;;;;;;;;;
1764602206433;1226;251;1;;;;;;;;;;;;;;;;;;;;;
1764602206439;1224;248;1;;;;;;;;;;;;;;;;;;;;;
1764602206446;1222;245;1;;;;;;;;;;;;;;;;;;;;;
1764602206453;1220;241;1;;;;;;;;;;;;;;;;;;;;;
1764602206467;1216;235;1;;;;;;;;;;;;;;;;;;;;;
1764602206475;1212;229;1;;;;;;;;;;;;;;;;;;;;;
1764602206482;1208;224;1;;;;;;;;;;;;;;;;;;;;;
